"Name","VMX","Cluster"
"tqpkiprofara04","[TQCLDBX24-VMAX4-FVP-004] tqpkiprofara02_clon090217/tqpkiprofara02_clon090217.vmx","tqcldbx20"
"tqpkiprofara03","[TQCLDBX20-VMAX40-FVP-089] tqpkiprofara03/tqpkiprofara03.vmx","tqcldbx20"
