"VM","Cluster","ESXi","PortGroup"
"tqfoppropiah02","TQCLWEB02","tqesxsenh037.senha.sat.mx","vlan1111WEB_10.55.96.x"
"tqeveproshii03","TQCLAPP02","tqesxsenh004.senha.sat.mx","vlan822APP_10.55.214.x"
"tqeveproshii03","TQCLAPP02","tqesxsenh004.senha.sat.mx","vlan2755APP_10.56.180.x"
"tqfoppropiaf01","TQCLWEB03","tqesxsenh023.senha.sat.mx","vlan821WEB_10.55.214.x"
"tqfoppropiaf01","TQCLWEB03","tqesxsenh023.senha.sat.mx","vlan1111WEB_10.55.96.x"
"tqfoppropiaf01","TQCLWEB03","tqesxsenh023.senha.sat.mx","vlan1787WEB_10.56.67.x"
"tqeverprotoolf3","TQCLDBX03","tqesxsenh115.senha.sat.mx","vlan823DBX_10.55.214.x"
"tqeverprotoolf3","TQCLDBX03","tqesxsenh115.senha.sat.mx","vlan3675DBX_10.56.234.x"
"tqeveprodepm01","TQCLDBX04","tqesxsenh060.senha.sat.mx","vlan823DBX_10.55.214.x"
"tqeveprodepm01","TQCLDBX04","tqesxsenh060.senha.sat.mx","vlan3388DBX_10.56.203.x"
"tqeverprotoolf2","TQCLDBX01","tqesxsenh067.senha.sat.mx","vlan823DBX_10.55.214.x"
"tqeverprotoolf2","TQCLDBX01","tqesxsenh067.senha.sat.mx","vlan3675DBX_10.56.234.x"
"tqintprosqlr01","TQCLDBX01","tqesxsenh075.senha.sat.mx","vlan1177DBX_10.60.171.x"
"tqintprosqlr01","TQCLDBX01","tqesxsenh075.senha.sat.mx","vlan1272DBX_10.57.184.x"
"tqintprosqlr01","TQCLDBX01","tqesxsenh075.senha.sat.mx","vlan3958DBX_10.56.215.x"
"tqeveproshii04","TQCLAPP02","tqesxsenh006.senha.sat.mx","vlan822APP_10.55.214.x"
"tqeveproshii04","TQCLAPP02","tqesxsenh006.senha.sat.mx","vlan2755APP_10.56.180.x"
"tqfoppropiah01","TQCLWEB02","tqesxsenh037.senha.sat.mx","vlan821WEB_10.55.214.x"
"tqfoppropiah01","TQCLWEB02","tqesxsenh037.senha.sat.mx","vlan1788WEB_10.56.67.x"
"tqfoppropiah01","TQCLWEB02","tqesxsenh037.senha.sat.mx","vlan1111WEB_10.55.96.x"
"tqeveproapsh01","TQCLDBX01","tqesxsenh066.senha.sat.mx","vlan823DBX_10.55.214.x"
"tqeveproapsh01","TQCLDBX01","tqesxsenh066.senha.sat.mx","vlan3675DBX_10.56.234.x"
"tqfopproceva01","TQCLDBX01","tqesxsenh073.senha.sat.mx","vlan823DBX_10.55.214.x"
"tqfopproceva01","TQCLDBX01","tqesxsenh073.senha.sat.mx","vlan3675DBX_10.56.234.x"
"tqeveproautc01","TQCLDBX04","tqesxsenh059.senha.sat.mx","vlan823DBX_10.55.214.x"
"tqeveproautc01","TQCLDBX04","tqesxsenh059.senha.sat.mx","vlan3388DBX_10.56.203.x"
"tqeverprotoolh1","TQCLDBX03","tqesxsenh107.senha.sat.mx","vlan823DBX_10.55.214.x"
